product,dimension,original_value,cleaned_value,reason
34-sleeve-lace-tunic#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
34-sleeve-shirt#White,,,,EMPTY_FILE
ainsley-cape#CharcoalM,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
alanis-pastel-dinosaurs-sweatshirt#Oatmeal,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
alaska-knit#Stone,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
alexandria-long-cardi#Charcoal,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
alexandria-long-cardi#Indigo,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
alexandria-long-cardi#Khaki,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
alskling-print-top#SeagullPr,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
alskling-print-top-1#Lrgaqua,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
alskling-print-top-3#LinesPrint,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
analia-top#White,sleeve,18cm,,OUT_OF_RANGE_20.0_140.0
anja-top#IvoryCheck,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
avola-tunic#Sky,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
aya-top#White,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
bamboo-layer-tank#Black,sleeve,4cm,,OUT_OF_RANGE_20.0_140.0
bamboo-layer-tank#Chalk,sleeve,4cm,,OUT_OF_RANGE_20.0_140.0
bamboo-naturals-cami#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
bamboo-naturals-cami#Dusk,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
be-mine-top-1#Sage,hip,181cm,,OUT_OF_RANGE_50.0_180.0
be-mine-top-1#Sage,hip,186cm,,OUT_OF_RANGE_50.0_180.0
be-mine-top-1#Sage,hip,191cm,,OUT_OF_RANGE_50.0_180.0
beach-walk-shirt#Khaki,bust,184cm,,OUT_OF_RANGE_50.0_180.0
beach-walk-shirt#Khaki,bust,188cm,,OUT_OF_RANGE_50.0_180.0
beach-walk-shirt#Khaki,bust,192cm,,OUT_OF_RANGE_50.0_180.0
beach-walk-shirt#Khaki,bust,196cm,,OUT_OF_RANGE_50.0_180.0
beach-walk-shirt#Khaki,bust,200cm,,OUT_OF_RANGE_50.0_180.0
beach-walk-shirt#Khaki,bust,204cm,,OUT_OF_RANGE_50.0_180.0
beach-walk-shirt#Khaki,bust,208cm,,OUT_OF_RANGE_50.0_180.0
beach-walk-shirt#Stormy,bust,184cm,,OUT_OF_RANGE_50.0_180.0
beach-walk-shirt#Stormy,bust,188cm,,OUT_OF_RANGE_50.0_180.0
beach-walk-shirt#Stormy,bust,192cm,,OUT_OF_RANGE_50.0_180.0
beach-walk-shirt#Stormy,bust,196cm,,OUT_OF_RANGE_50.0_180.0
beach-walk-shirt#Stormy,bust,200cm,,OUT_OF_RANGE_50.0_180.0
beach-walk-shirt#Stormy,bust,204cm,,OUT_OF_RANGE_50.0_180.0
beach-walk-shirt#Stormy,bust,208cm,,OUT_OF_RANGE_50.0_180.0
belle-bolero-cardi#BlueBonnet,,,,EMPTY_FILE
belle-flute-sleeve-tee#Navy,hip,181cm,,OUT_OF_RANGE_50.0_180.0
belle-flute-sleeve-tee#Navy,hip,186cm,,OUT_OF_RANGE_50.0_180.0
belle-handkerchief-printed-cami#RustFlwrs,sleeve,4cm,,OUT_OF_RANGE_20.0_140.0
belle-handkerchief-printed-cami#RustFlwrs,sleeve,5cm,,OUT_OF_RANGE_20.0_140.0
belle-handkerchief-printed-cami#RustFlwrs,sleeve,7cm,,OUT_OF_RANGE_20.0_140.0
belle-handkerchief-printed-cami#RustFlwrs,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
belle-handkerchief-printed-cami#RustFlwrs,sleeve,9cm,,OUT_OF_RANGE_20.0_140.0
belle-handkerchief-printed-cami#RustFlwrs,sleeve,10cm,,OUT_OF_RANGE_20.0_140.0
belle-handkerchief-printed-cami#RustFlwrs,sleeve,11cm,,OUT_OF_RANGE_20.0_140.0
belle-handkerchief-printed-cami#RustFlwrs,sleeve,13cm,,OUT_OF_RANGE_20.0_140.0
belle-lace-trim-tee#GreyMarle,hip,184cm,,OUT_OF_RANGE_50.0_180.0
belle-lace-trim-tee#GreyMarle,hip,189cm,,OUT_OF_RANGE_50.0_180.0
belle-mesh-cardi#Black,hip,194cm,,OUT_OF_RANGE_50.0_180.0
belle-mesh-cardi#Black,hip,199cm,,OUT_OF_RANGE_50.0_180.0
belle-mesh-cardi#Black,hip,204cm,,OUT_OF_RANGE_50.0_180.0
belle-mesh-cardi#Black,hip,209cm,,OUT_OF_RANGE_50.0_180.0
belle-mesh-cardi#Black,hip,214cm,,OUT_OF_RANGE_50.0_180.0
belle-mesh-cardi#Black,hip,219cm,,OUT_OF_RANGE_50.0_180.0
belle-mesh-cardi#Black,hip,224cm,,OUT_OF_RANGE_50.0_180.0
belle-mesh-cardi#Black,hip,229cm,,OUT_OF_RANGE_50.0_180.0
belle-off-the-shoulder-tee#Stripe,waist,1123cm,,OUT_OF_RANGE_50.0_180.0
belle-poncho-sleeved-knit#BlueMarle,hip,182cm,,OUT_OF_RANGE_50.0_180.0
belle-square-neck-drape-tee#Vanilla,sleeve,16cm,,OUT_OF_RANGE_20.0_140.0
block-colour-cardi#IndigoComb,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
bondi-babe-tank#BondiBabe,,,,EMPTY_FILE
bondi-bare-singlet#Black,,,,EMPTY_FILE
bondi-bare-singlet#RoseBeige,,,,EMPTY_FILE
bora-bora-layered-tank#BoraBora,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
boyfriend-cord-shirt#Moss,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
brighton-palm-rainbow-stripe-top#WhiteMulti,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
brighton-pocket-parrot-top#WhiteBlue,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
burleigh-sweater#BlueStripe,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
burleigh-sweater#KhakiStrip,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
cabin-shirt#DenimStrip,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
calice-cardigan#Natural,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
cambridge-henley#Indigo,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
cambridge-henley#Khaki,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
cambridge-henley#Petrol,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
cambridge-henley#Stone,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
capri-tank-3#Black,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
capri-tank-3#NavyStripe,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
capri-tank-3#Navy,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
capri-tank-3#White,sleeve,8cm,,OUT_OF_RANGE_20.0_140.0
capri-tank-6#ClaySpot,sleeve,9cm,,OUT_OF_RANGE_20.0_140.0
capri-tank-6#HeatheGrey,sleeve,9cm,,OUT_OF_RANGE_20.0_140.0
capri-tank-6#Olive,sleeve,9cm,,OUT_OF_RANGE_20.0_140.0
cara-tee-2#BlackSpot,waist,11cm,,OUT_OF_RANGE_50.0_180.0
cara-tee-2#Blush,waist,11cm,,OUT_OF_RANGE_50.0_180.0
cara-tee-2#WhiteBlk,waist,11cm,,OUT_OF_RANGE_50.0_180.0
central-park-jacket#Indigo,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
cha-cha-top-1#Riverside,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
check-pea-coat#IndigoCom,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
cosmopolitan-top#White,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
crop-reversible-cardy#Avocado,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
cross-my-heart-bamboo-slouch-tee#White,bust,186cm,,OUT_OF_RANGE_50.0_180.0
cross-my-heart-bamboo-slouch-tee#White,bust,190cm,,OUT_OF_RANGE_50.0_180.0
cross-my-heart-bamboo-slouch-tee#White,bust,196cm,,OUT_OF_RANGE_50.0_180.0
curved-hem-crew#Candycombo,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
curved-hem-crew#Powdercom,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
daisy-chain-tassel-blouse#DeepBlue,hip,182cm,,OUT_OF_RANGE_50.0_180.0
daisy-chain-tassel-blouse#DeepBlue,hip,186cm,,OUT_OF_RANGE_50.0_180.0
daisy-chain-tassel-blouse#DeepBlue,hip,192cm,,OUT_OF_RANGE_50.0_180.0
daisy-chain-tassel-blouse#DeepBlue,hip,196cm,,OUT_OF_RANGE_50.0_180.0
deliah-knit#Charcoal,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
destiny-top#Natural,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
dulcis-tank-top#LightGreen,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
emma-scoop-tank#Black,,,,EMPTY_FILE
emma-scoop-tank#SilverMarl,,,,EMPTY_FILE
emma-scoop-tank#White,,,,EMPTY_FILE
essential-top#Navy,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
everyday-cord-tunic#Rust,,,,EMPTY_FILE
fairisle-pullover#IceCombo,,,,EMPTY_FILE
fargo-top#Black,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
first-mix-top#BlackPintr,,,,EMPTY_FILE
first-mix-top#CloudDance,,,,EMPTY_FILE
fleur-cupro-top#Teal,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
flow-with-me-slouch-top#Brick,hip,185cm,,OUT_OF_RANGE_50.0_180.0
flow-with-me-slouch-top#Brick,bust,184cm,,OUT_OF_RANGE_50.0_180.0
flow-with-me-slouch-top#Brick,waist,182cm,,OUT_OF_RANGE_50.0_180.0
flow-with-me-slouch-top#Brick,hip,190cm,,OUT_OF_RANGE_50.0_180.0
flow-with-me-slouch-top#Brick,bust,189cm,,OUT_OF_RANGE_50.0_180.0
flow-with-me-slouch-top#Brick,waist,187cm,,OUT_OF_RANGE_50.0_180.0
flow-with-me-slouch-top#Brick,hip,195cm,,OUT_OF_RANGE_50.0_180.0
french-cut-top#Black,,,,EMPTY_FILE
french-cut-top#White,,,,EMPTY_FILE
freya-fringe-blouse#Navy,sleeve,18cm,,OUT_OF_RANGE_20.0_140.0
glom-mig-inte-tunic#NavyTulip,,,,STRING_JSON_ERROR: Expecting value: line 2 column 5 (char 5)
glom-mig-inte-tunic-1#PaleTulip,,,,EMPTY_FILE
