person_id,product_id,label,negative_type
Fiona,the-tie-detail-hoody#Pink,1,positive
Jess,belle-off-the-shoulder-tee#Stripe,1,positive
Fiona,the-relaxed-long-sleeve-tee-1#Ink%20Stripe,1,positive
Laura,milan-stretch-top#Black,1,positive
Chelsea,falling-for-you-cardi#Teal,1,positive
Maddy,the-batwing-tee#FrenchBlue,1,positive
Chesska,true-love-bell-blouse#Jade,1,positive
Riina,the-essential-pullover#SkyBlue,1,positive
Laura,belle-drape-tee#Sliver,1,positive
Chelsea,millie-top#BlackSpot,1,positive
Gemma,cara-tee-3#Mustard,1,positive
Fiona,walk-in-the-park-cardi#Sand,1,positive
Fiona,paige-top#Black,1,positive
Mae-Lee,long-sleeve-softly-swinging-bamboo-tee#Combat,1,positive
Mae-Lee,sugar-snaps-layers-tank#White,1,positive
Jess,buttoned-top#Spotty,1,positive
Ljubenka,softly-swinging-bamboo-tee#Jewel,1,positive
Natalia,the-relaxed-batwing-top#Denim%20Blue,1,positive
Mercy,belle-v-neck-forgiver-tunic#Scarlett,1,positive
Stacey,the-oversize-knit#Ink,1,positive
Shadae,monaco-knot-top#Black,1,positive
Fiona,the-essential-pullover#DustyPeach,1,positive
Chelsea,millie-top#Moss,1,positive
Monique,hannah-tee-1#Black,1,positive
Clementine,the-sleeveless-cross-over-blouse#White,1,positive
Palatina,sky-jumper-1#Clouds,1,positive
Mercy,belle-deep-v-mesh-top#Black,1,positive
Emma,belle-v-neck-forgiver-tunic#Charcoal,1,positive
Mae-Lee,the-striped-top#BlueStripe,1,positive
Jess,layered-tee-2#Black,1,positive
Anna,the-everyday-shirt#Cream,1,positive
Jess,the-cotton-bamboo-tank#DarkNavy,1,positive
Emma,belle-v-neck-forgiver-tunic#DenimMarl,1,positive
Jess,the-cut-out-shoulder-blouse#White,1,positive
Nadine,amira-sweater#Cream,1,positive
Sophie,the-relaxed-batwing-top#Denim%20Blue,1,positive
Marnee,butterfly-kisses-tee#MustardStr,1,positive
Anna,aigli-top#White,1,positive
Laura,sugar-snaps-round-neck-layer-tank#White,1,positive
Fiona,sugar-snaps-throw-jacket#Black,1,positive
Ljubenka,falling-for-you-cardi#Navy,1,positive
Riina,the-tie-detail-hoody#FrenchBlue,1,positive
Olivia,the-sleeveless-cross-over-blouse#Mint,1,positive
Fiona,belle-v-neck-forgiver-tunic#Navy,1,positive
Tia,the-cotton-bamboo-tank#DuckEgg,1,positive
Nikki,the-drape-tee-1#White,1,positive
Summer,stud-trim-long-sleeve-top#Mint,1,positive
Nathalie,the-everyday-shirt#Black,1,positive
Riina,jordan-top#PearlBlue,1,positive
Anna,layered-tee-2#White,1,positive
Laura,the-batwing-tee#FrenchBlue,1,positive
Georgia,the-cotton-bamboo-tank#DuckEgg,1,positive
Natalie,the-cross-over-blouse#Blue,1,positive
Jess,belle-deep-v-mesh-top#Black,1,positive
Fiona,belle-ls-free-fall-tee#Greenland,1,positive
Fiona,the-stripe-jersey-top#Blue,1,positive
Ljubenka,the-open-sleeve-blouse#Berry,1,positive
Stacey,juno-cardigan#GreyMarle,1,positive
Tia,the-cotton-bamboo-tank#Chambray,1,positive
Mercy,belle-ls-free-fall-tee#Greenland,1,positive
Maddy,the-long-sleeve-scoop-neck-tee#Grey,1,positive
Clementine,the-everyday-shirt#Cream,1,positive
Sophia,billow-top#Peach,1,positive
Natalia,the-reverse-sleeve-sweater#Navy,1,positive
Jess,sandy-off-the-shoulder-top#Gingham,1,positive
Kate,runaway-top#SoftMint,1,positive
Jess,belle-satin-shirt#Black,1,positive
Sophie,the-zip-front-blouse#Navy,1,positive
Chelsea,falling-for-you-cardi#Mustard,1,positive
Jess,drama-top#BlackGrey,1,positive
Jess,softly-falling-bamboo-tunic#Copper,1,positive
Fiona,long-sleeve-softly-swinging-bamboo-tee#Combat,1,positive
Shadae,rib-tank-2#Mustard,1,positive
Amanda,the-high-low-drape-tee#Grey,1,positive
Marnee,sugar-snaps-layers-tank#DeepCobalt,1,positive
Amanda,the-batwing-tee#Black,1,positive
Anna Maria,falling-for-you-cardi#Mustard,1,positive
Jess,sugar-snaps-layers-tank#PeachyKeen,1,positive
Laura,the-cross-over-blouse#Red,1,positive
Riina,napoleon-top-1#NemoRed,1,positive
Nikki,selma-top-1#IndoStripe,1,positive
Amanda,the-longline-waterfall-cardi#Black,1,positive
Stacey,chill-out-slouch-top#Mustard,1,positive
Laura,the-sleeveless-cross-over-blouse#Black,1,positive
Natalia,napoleon-top-1#NemoRed,1,positive
Katie,messina-knit#Cognac,1,positive
Chelsea,cara-tee-2#WhiteBlk,1,positive
Lara,curve-hem-cable-knit-sweater-1#Sapphire,1,positive
